"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","100","20144","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","  13","  13","4.000","2.964","0.0","100.0","0.0","0.0","0.0","0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","110","20145","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith D.","   6","   7","3.783","3.104","14.3","83.3","16.7","0.0","0.0","1","   4","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","112","29209","BLACK MUSIC OF TWO WORLDS","Burnim,Mellonee Victoria","  19","  22","2.368","2.702","0.0","0.0","47.4","42.1","10.5","3","   0","   0","   0","   1","   4","   4","   3","   3","   2","   2","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","120","20146","SOUL REVUE","Mahluli,Nathanael Fareed","  17","  17","3.982","2.918","0.0","100.0","0.0","0.0","0.0","0","   6","  10","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","132","29968","RECENT AAAD LITERATURE","McElroy,Frederick L.","  23","  31","3.491","2.795","0.0","52.2","43.5","4.3","0.0","8","   0","   8","   4","   6","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","150","20152","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L."," 148"," 169","3.415","3.055","0.0","58.8","31.1","7.4","0.7","24","  14","  44","  29","  22","  18","   6","   4","   5","   2","   0","   0","   1","   3","   6","  15","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","8W2","Eight Week - Second","AAAD","AAAD-A","263","36372","CONTEMP SOC ISS-AFR AMER COMM","Williams,Vernon","  31","  34","3.497","2.607","6.3","67.7","16.1","16.1","0.0","3","   1","  15","   5","   3","   2","   0","   1","   3","   1","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","265","20157","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A."," 170"," 187","3.366","2.833","0.6","48.2","41.2","9.4","1.2","17","  11","  59","  12","  20","  43","   7","   2","  11","   3","   1","   1","   0","   0","   8","   7","   1","   0","   1","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","278","26363","CONTEMPORARY BLACK FILM","Smith,April Faye","  25","  40","3.500","2.918","3.3","76.0","12.0","8.0","0.0","16","   8","   7","   4","   0","   2","   1","   0","   2","   0","   0","   0","   0","   1","   5","  10","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
"Spring 2012","4122","1","Regular Academic Session","AAAD","AAAD-A","290","31942","SOCIOCLTRL PERSP-AFR AMER MUS","Cohen,Judah M","  14","  20","3.286","3.086","6.7","35.7","57.1","7.1","0.0","6","   0","   3","   2","   3","   4","   1","   0","   1","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","06-08-2012",
